Battery Park;31
-74.0124 40.7195
-74.0131 40.7157
-74.0143 40.7113
-74.0166 40.7056
-74.0163 40.705
-74.0165 40.7043
-74.0167 40.7043
-74.0173 40.7039
-74.0174 40.7042
-74.017 40.7047
-74.0181 40.7046
-74.0169 40.7051
-74.017 40.7053
-74.0191 40.7049
-74.0193 40.7058
-74.0193 40.7068
-74.0197 40.707
-74.0194 40.7071
-74.019 40.7079
-74.0192 40.7079
-74.0192 40.7084
-74.0194 40.7088
-74.019 40.711
-74.0186 40.7115
-74.0183 40.7128
-74.0142 40.7127
-74.0139 40.7141
-74.0176 40.7133
-74.016 40.7196
-74.0128 40.7195
-74.0124 40.7195
Carnegie Hill;6
-73.9511 40.786
-73.9556 40.7795
-73.9606 40.7817
-73.9581 40.7851
-73.9559 40.7881
-73.9511 40.786
Central Park;13
-73.9524 40.7982
-73.9493 40.7969
-73.9559 40.7881
-73.9581 40.7851
-73.9606 40.7817
-73.9733 40.7645
-73.9817 40.7678
-73.9817 40.7678
-73.9814 40.7683
-73.9817 40.7685
-73.9584 40.8007
-73.9531 40.7985
-73.9524 40.7982
Chelsea;64
-74.0125 40.7436
-74.0124 40.744
-74.0096 40.7437
-74.0094 40.7443
-74.0123 40.7446
-74.0122 40.745
-74.0095 40.7447
-74.0093 40.7453
-74.0121 40.7456
-74.0121 40.7459
-74.0092 40.7457
-74.0091 40.7464
-74.0119 40.7467
-74.0119 40.7471
-74.009 40.7467
-74.0089 40.7474
-74.0116 40.7477
-74.0115 40.7481
-74.0089 40.7479
-74.0088 40.7486
-74.0105 40.7489
-74.0098 40.7504
-74.0094 40.7504
-74.0093 40.7508
-74.0108 40.7513
-74.0108 40.7516
-74.0092 40.7512
-74.009 40.7518
-74.0106 40.7524
-74.0104 40.7527
-74.0088 40.7519
-74.0087 40.7524
-74.0102 40.7531
-74.0101 40.7534
-74.0086 40.7527
-74.0084 40.7534
-74.0097 40.7539
-74.0096 40.7543
-74.0081 40.7538
-74.0082 40.7541
-74.0098 40.7548
-74.0097 40.755
-74.008 40.7543
-74.007 40.7561
-74.0081 40.7565
-74.0079 40.7569
-74.0067 40.7565
-74.0066 40.7566
-74.0083 40.7572
-74.0082 40.7575
-74.0065 40.7569
-74.0065 40.7571
-74.0078 40.7577
-74.0078 40.7581
-74.0061 40.7576
-74.0049 40.757
-73.9935 40.7523
-73.9953 40.7498
-73.9864 40.7463
-73.9936 40.7365
-73.9997 40.7391
-74.0098 40.7429
-74.0096 40.7433
-74.0125 40.7436
Chinatown;9
-74.003 40.7161
-74.0005 40.719
-74.0001 40.7193
-73.9954 40.7177
-73.9921 40.7166
-73.9931 40.7148
-73.993 40.7143
-73.9982 40.7139
-74.003 40.7161
Clinton;44
-73.9976 40.7669
-73.9967 40.7667
-73.9863 40.7624
-73.9899 40.7574
-73.9935 40.7523
-74.0049 40.757
-74.0061 40.7576
-74.006 40.7578
-74.0075 40.7584
-74.0073 40.7587
-74.0057 40.7579
-74.0056 40.7582
-74.0069 40.7589
-74.0069 40.7592
-74.0053 40.7585
-74.0052 40.7588
-74.0061 40.7594
-74.0059 40.7596
-74.0049 40.759
-74.0041 40.7604
-74.0061 40.7613
-74.0058 40.7618
-74.003 40.7611
-74.0026 40.7617
-74.0047 40.7626
-74.0044 40.7628
-74.0024 40.7619
-74.0018 40.7627
-74.004 40.7637
-74.0038 40.7639
-74.0016 40.763
-74.0011 40.7635
-74.0034 40.7645
-74.0031 40.7648
-74.0003 40.7638
-73.9998 40.7645
-74.0024 40.7657
-74.0021 40.7662
-73.999 40.7649
-73.9987 40.7656
-74.0016 40.7671
-74.0014 40.7673
-73.9982 40.766
-73.9976 40.7669
East Harlem;11
-73.9327 40.7931
-73.9359 40.7914
-73.9493 40.7969
-73.9423 40.8064
-73.9291 40.801
-73.9286 40.7988
-73.929 40.7967
-73.9291 40.7955
-73.9295 40.7944
-73.9305 40.7939
-73.9327 40.7931
East Village;8
-73.9873 40.7337
-73.9718 40.7272
-73.9731 40.7212
-73.9737 40.7193
-73.9756 40.7196
-73.9926 40.7246
-73.9916 40.7276
-73.9873 40.7337
Financial District;62
-74.0131 40.7157
-74.0113 40.7147
-74.0075 40.713
-74.0052 40.7125
-73.9992 40.7082
-74.002 40.7071
-74.0008 40.706
-74.0012 40.7057
-74.0023 40.7069
-74.0026 40.7068
-74.0016 40.7055
-74.0018 40.7053
-74.0029 40.7065
-74.0032 40.7063
-74.002 40.7052
-74.0023 40.7051
-74.0035 40.7061
-74.0038 40.7059
-74.0025 40.7048
-74.0028 40.7046
-74.0041 40.7058
-74.0045 40.7055
-74.0034 40.7044
-74.0036 40.7042
-74.0048 40.7053
-74.0052 40.7049
-74.004 40.7039
-74.0043 40.7036
-74.0057 40.7045
-74.0065 40.7042
-74.0053 40.7032
-74.0055 40.703
-74.0067 40.704
-74.0071 40.7036
-74.0056 40.7022
-74.0062 40.702
-74.0078 40.7031
-74.0092 40.702
-74.0097 40.7018
-74.0089 40.7011
-74.0093 40.701
-74.0101 40.7016
-74.0103 40.7014
-74.0111 40.7011
-74.011 40.7009
-74.0121 40.7005
-74.0135 40.7004
-74.0136 40.701
-74.0139 40.701
-74.014 40.7006
-74.015 40.7009
-74.0157 40.7013
-74.0171 40.7026
-74.0177 40.7034
-74.0176 40.7039
-74.0173 40.7039
-74.0167 40.7043
-74.0165 40.7043
-74.0163 40.705
-74.0166 40.7056
-74.0143 40.7113
-74.0131 40.7157
Garment District;7
-73.9953 40.7498
-73.9935 40.7523
-73.9899 40.7574
-73.981 40.7537
-73.9847 40.7486
-73.9864 40.7463
-73.9953 40.7498
Gramercy;22
-73.9847 40.7486
-73.9714 40.7433
-73.9727 40.7404
-73.9726 40.7369
-73.9741 40.7376
-73.9747 40.7362
-73.9716 40.7354
-73.9726 40.7346
-73.974 40.7352
-73.9742 40.7352
-73.974 40.7343
-73.9721 40.7338
-73.9724 40.7334
-73.974 40.734
-73.9732 40.732
-73.9732 40.7316
-73.9714 40.7301
-73.9714 40.7288
-73.9718 40.7272
-73.9873 40.7337
-73.9936 40.7365
-73.9847 40.7486
Greenwich Village;13
-74.0052 40.7291
-74.0051 40.73
-74.0019 40.7355
-74.0017 40.7363
-74.001 40.7371
-73.9997 40.7391
-73.9936 40.7365
-73.9873 40.7337
-73.9916 40.7276
-73.9926 40.7246
-73.9954 40.7255
-74.0027 40.7289
-74.0052 40.7291
Hamilton Heights;18
-73.9542 40.8114
-73.9614 40.8192
-73.9622 40.8201
-73.9605 40.8218
-73.9591 40.8212
-73.9579 40.823
-73.9596 40.8237
-73.9564 40.828
-73.955 40.8275
-73.9548 40.8286
-73.9503 40.8348
-73.9415 40.8309
-73.9431 40.8266
-73.9448 40.8241
-73.9481 40.8172
-73.9499 40.8138
-73.9526 40.8108
-73.9542 40.8114
Harlem;23
-73.933 40.8077
-73.9298 40.8034
-73.9291 40.801
-73.9423 40.8064
-73.9493 40.7969
-73.9524 40.7982
-73.9531 40.7985
-73.9584 40.8007
-73.9597 40.8013
-73.9569 40.805
-73.9526 40.8108
-73.9499 40.8138
-73.9481 40.8172
-73.9448 40.8241
-73.9431 40.8266
-73.9415 40.8309
-73.9343 40.8278
-73.9339 40.825
-73.9339 40.8228
-73.9341 40.8217
-73.9335 40.8177
-73.9341 40.8113
-73.933 40.8077
Inwood;44
-73.9153 40.8755
-73.915 40.8765
-73.9124 40.878
-73.9117 40.8791
-73.9107 40.8789
-73.9101 40.8787
-73.9097 40.8788
-73.9092 40.878
-73.9086 40.8775
-73.9081 40.8774
-73.9079 40.8771
-73.9077 40.8768
-73.9074 40.8762
-73.9071 40.8734
-73.9073 40.873
-73.9082 40.8725
-73.9087 40.8717
-73.9106 40.8726
-73.9112 40.8689
-73.9144 40.8654
-73.915 40.8632
-73.9174 40.8603
-73.9194 40.859
-73.921 40.8601
-73.9207 40.8581
-73.9219 40.856
-73.9223 40.8553
-73.9226 40.858
-73.9245 40.8619
-73.927 40.866
-73.9337 40.8674
-73.9324 40.8692
-73.933 40.8697
-73.9291 40.876
-73.9282 40.8766
-73.9276 40.8767
-73.9265 40.8782
-73.9226 40.8775
-73.9219 40.8765
-73.9224 40.8747
-73.9207 40.8742
-73.9212 40.8756
-73.9156 40.8748
-73.9153 40.8755
Little Italy;7
-73.9971 40.7228
-73.9964 40.7242
-73.9954 40.7255
-73.9926 40.7246
-73.9954 40.7177
-74.0001 40.7193
-73.9971 40.7228
Lower East Side;24
-73.9737 40.7193
-73.9762 40.7128
-73.978 40.7105
-73.9807 40.7097
-73.9865 40.709
-73.9893 40.7092
-73.9895 40.7103
-73.9902 40.7102
-73.9899 40.7091
-73.9903 40.7091
-73.9907 40.7102
-73.9976 40.709
-73.9992 40.7082
-74.0052 40.7125
-74.0036 40.7141
-74.003 40.7161
-73.9982 40.7139
-73.993 40.7143
-73.9931 40.7148
-73.9922 40.7166
-73.9954 40.7177
-73.9926 40.7246
-73.9756 40.7196
-73.9737 40.7193
Midtown;43
-73.9967 40.7738
-73.9944 40.7728
-73.9942 40.7731
-73.993 40.7726
-73.9817 40.7678
-73.9733 40.7645
-73.9646 40.7609
-73.9678 40.7564
-73.962 40.7539
-73.9639 40.7523
-73.964 40.7524
-73.9677 40.7482
-73.981 40.7537
-73.9899 40.7574
-73.9863 40.7624
-73.9967 40.7667
-73.9976 40.7669
-74.0008 40.7684
-74.0006 40.7687
-73.9973 40.7674
-73.9967 40.7682
-73.9998 40.7696
-73.9997 40.77
-73.9972 40.7691
-73.9967 40.7698
-73.9988 40.771
-73.9986 40.7711
-73.9966 40.7704
-73.9964 40.7705
-73.9983 40.7715
-73.998 40.7718
-73.996 40.7709
-73.9957 40.7712
-73.9978 40.7722
-73.9976 40.7724
-73.9955 40.7715
-73.9953 40.7718
-73.9974 40.7728
-73.9972 40.7731
-73.9949 40.7722
-73.9948 40.7724
-73.9969 40.7736
-73.9967 40.7738
Morningside Heights;12
-73.9712 40.806
-73.9642 40.8158
-73.9623 40.818
-73.9633 40.8188
-73.9632 40.8191
-73.9626 40.8187
-73.9614 40.8192
-73.9542 40.8114
-73.9526 40.8108
-73.9569 40.805
-73.9597 40.8013
-73.9712 40.806
Murray Hill;7
-73.9847 40.7486
-73.981 40.7537
-73.9677 40.7482
-73.9686 40.7475
-73.971 40.7444
-73.9714 40.7433
-73.9847 40.7486
North Sutton Area;6
-73.9646 40.7609
-73.9585 40.7583
-73.9601 40.7562
-73.962 40.7539
-73.9678 40.7564
-73.9646 40.7609
Soho;18
-74.0108 40.7264
-74.0116 40.7261
-74.0153 40.7269
-74.0151 40.7275
-74.0119 40.7272
-74.0118 40.7287
-74.0147 40.729
-74.0147 40.7292
-74.0142 40.7292
-74.014 40.7299
-74.0052 40.7291
-74.0027 40.7289
-73.9954 40.7255
-73.9964 40.7242
-73.9971 40.7228
-74.0001 40.7193
-74.0005 40.719
-74.0108 40.7264
Tribeca;29
-74.0131 40.7157
-74.0124 40.7195
-74.0128 40.7195
-74.0128 40.7202
-74.0133 40.7203
-74.0133 40.7205
-74.0162 40.7211
-74.0161 40.7213
-74.0126 40.7208
-74.0125 40.7213
-74.016 40.7218
-74.0158 40.7221
-74.0131 40.7219
-74.013 40.7221
-74.0122 40.722
-74.0121 40.7227
-74.0124 40.7243
-74.016 40.7248
-74.0157 40.7257
-74.0119 40.7251
-74.0116 40.7261
-74.0108 40.7264
-74.0005 40.719
-74.003 40.7161
-74.0036 40.7141
-74.0052 40.7125
-74.0075 40.713
-74.0113 40.7147
-74.0131 40.7157
Upper East Side;17
-73.9428 40.7799
-73.9422 40.7779
-73.9435 40.7745
-73.9442 40.773
-73.9476 40.7702
-73.9507 40.7665
-73.9535 40.7633
-73.9569 40.76
-73.9585 40.7583
-73.9646 40.7609
-73.9733 40.7645
-73.9606 40.7817
-73.9556 40.7795
-73.9511 40.786
-73.9436 40.7828
